sgRNA	Gene	s1_l1_rep1	s2_l2_rep2	s3_l3_rep3	s1_h1_rep1	s2_h2_rep2	s3_h3_rep3
MAP2K4_-_11924225.23-P1P2|MAP2K4_+_11924171.23-P1P2	MAP2K4	577.87	391.43	813.7	28066	32343	35188
CNOT3_+_54641532.23-P1P2|CNOT3_-_54641691.23-P1P2	CNOT3	404.51	19.133	17.198	4192.7	5105.1	5046.6
UBE3C_-_156932395.23-P1P2|UBE3C_-_156931660.23-P1P2	UBE3C	210.64	55.007	1012.6	16754	16835	14718
C6orf106_+_34664012.23-P1P2|C6orf106_+_34664307.23-P1P2	C6orf106	340.2	7.9721	18.273	2924	4095.2	4638.2
EIF3J_+_44829331.23-P1P2|EIF3J_-_44829398.23-P1P2	EIF3J	97.866	7.9721	6.4494	2282.9	2387.7	3549.5
SHF_+_45493289.23-P2|SHF_-_45493253.23-P2	SHF	1.8641	3.986	9.6741	1646.9	2120.2	1211.7
BCCIP_-_127512165.23-P1P2|BCCIP_+_127512151.23-P1P2	BCCIP	2.7962	3.1888	203.16	683.72	1360.4	1704.6
ATF2_+_176032892.23-P1P2|ATF2_+_176032497.23-P1P2	ATF2	726.07	1185.4	733.08	23990	24320	24955
CUL2_+_35379233.23-P1P2|CUL2_+_35379513.23-P1P2	CUL2	4.6603	3.986	8.5992	2432.5	1642.9	1462.5
CNOT2_-_70637260.23-P1P2|CNOT2_+_70637651.23-P1P2	CNOT2	123.03	4.7833	5.3745	3003	1751.3	317.09
ZNF784_+_56135894.23-P1P2|ZNF784_-_56135887.23-P1P2	ZNF784	3.7282	7.1749	326.77	665.01	1902.3	1937.1
GET4_+_916235.23-P1P2|GET4_-_916288.23-P1P2	GET4	2045.9	541.3	1925.2	34849	38821	35778
GJD3_-_38519861.23-P2|GJD3_-_38519881.23-P2	GJD3	3.7282	346.79	4.2996	580.85	1807.8	1301
EXOSC9_-_122722527.23-P1P2|EXOSC9_-_122722508.23-P1P2	EXOSC9	130.49	0.79721	1.0749	1130.5	138.35	585.18
XRN1_+_142166856.23-P1P2|XRN1_-_142166648.23-P1P2	XRN1	1.8641	3.1888	3.2247	888.42	1035.3	1175.2
SRPR_+_126138730.23-P1P2|SRPR_-_126138703.23-P1P2	SRPR	0.93205	1.5944	3.2247	231.72	695.21	838.85
CPSF3_+_9564024.23-P1P2|CPSF3_+_9563875.23-P1P2	CPSF3	178.02	6.3777	12.899	2065.7	2024.5	1887.2
STRN4_+_47249248.23-P1P2|STRN4_+_47249668.23-P1P2	STRN4	0	0.79721	219.28	448.88	713.66	6.7262
GCNT7_-_55100973.23-ENST00000243913.4|GCNT7_-_55100729.23-ENST00000243913.4	GCNT7	0.93205	0	1.0749	370.95	658.32	460.26
PPP1R13L_+_45908182.23-P1|PPP1R13L_-_45908257.23-P1	PPP1R13L	147.26	0.79721	1.0749	747.1	0	488.13
MCM6_+_136633947.23-P1P2|MCM6_+_136633964.23-P1P2	MCM6	0.93205	0.79721	131.14	263.93	446.18	528.49
WDR7_-_54318645.23-P1P2|WDR7_+_54318670.23-P1P2	WDR7	2.7962	125.96	21.498	2261	3740.1	1503.8
SLC22A3_+_160769454.23-P1P2|SLC22A3_-_160769417.23-P1P2	SLC22A3	0	1.5944	2.1498	567.34	757.47	115.31
DMRTC2_+_42349304.23-P1P2|DMRTC2_-_42349522.23-P1P2	DMRTC2	104.39	1.5944	3.2247	798.02	1624.5	464.11
ASNA1_+_12848373.23-P1P2|ASNA1_+_12848657.23-P1P2	ASNA1	8.3885	165.02	170.91	6866.3	6405.6	4511.3
PSENEN_-_36236585.23-P1P2|PSENEN_+_36236579.23-P1P2	PSENEN	0.93205	3.986	1.0749	322.12	940.78	437.2
PI4KB_-_151299873.23-P1P2|PI4KB_-_151299840.23-P1P2	PI4KB	0.93205	2.3916	4.2996	867.64	665.23	577.49
DDX54_+_113623252.23-P1|DDX54_-_113623260.23-P1	DDX54	0.93205	1.5944	2.1498	532.01	530.34	442.01
ATP6V1F_-_128502898.23-P1P2|ATP6V1F_+_128503227.23-P1P2	ATP6V1F	0	0.79721	2.1498	100.79	390.84	359.37
GOLT1B_+_21654765.23-P1P2|GOLT1B_+_21654809.23-P1P2	GOLT1B	112.78	4.7833	6.4494	908.16	1245.2	1063.7
RPP38_+_15139555.23-P1P2|RPP38_+_15139358.23-P1P2	RPP38	0	0.79721	148.34	352.25	314.75	1322.2
LEPROTL1_+_29953187.23-P1P2|LEPROTL1_+_29952990.23-P1P2	LEPROTL1	233.95	279.02	379.44	7397.2	8484.3	7816.8
NOTCH2_+_120611566.23-P1P2|NOTCH2_-_120611718.23-P1P2	NOTCH2	193.87	2.3916	4.2996	628.65	831.25	1008
CLASRP_-_45542349.23-P1P2|CLASRP_-_45542376.23-P1P2	CLASRP	3731	3948.6	4024.4	31549	34741	33798
RPL11_+_24018674.23-P1P2|RPL11_+_24018347.23-P1P2	RPL11	247.93	0	1.0749	732.55	249.03	393
TPRKB_+_73964387.23-P1P2|TPRKB_-_73964451.23-P1P2	TPRKB	137.94	3.1888	5.3745	1835	479.61	910.92
MSL1_+_38278860.23-P1P2|MSL1_+_38278902.23-P1P2	MSL1	493.06	599.5	612.7	11396	10618	13081
PCM1_-_17780764.23-P1P2|PCM1_+_17780823.23-P1P2	PCM1	3.7282	308.52	6.4494	809.45	992.66	1068.5
PRC1_+_91537740.23-P1P2|PRC1_+_91537748.23-P1P2	PRC1	52.195	0	1.0749	479.02	252.49	384.35
RPL24_-_101405503.23-P1P2|RPL24_+_101405498.23-P1P2	RPL24	0.93205	2.3916	1.0749	98.713	487.68	383.39
ISG20L2_+_156698201.23-P1P2|ISG20L2_-_156698173.23-P1P2	ISG20L2	0	1.5944	1.0749	382.38	496.91	190.25
PAM16_+_4401248.23-P1P2|PAM16_-_4401236.23-P1P2	PAM16	0	0	0	290.94	325.12	451.62
POU3F1_+_38512447.23-P1P2|POU3F1_+_38512374.23-P1P2	POU3F1	3056.2	3396.1	4179.2	29832	31197	29249
MDN1_+_90529477.23-P1P2|MDN1_-_90529439.23-P1P2	MDN1	509.83	8.7693	12.899	978.82	1414.6	1434.6
STAG3_+_99775559.23-P1P2|STAG3_-_99775579.23-P1P2	STAG3	988.91	928.75	1142.6	14680	15712	13510
RRP1_+_45209480.23-P1P2|RRP1_-_45209489.23-P1P2	RRP1	61.516	1.5944	2.1498	281.59	762.08	541.94
DNAJB5_-_34989751.23-P1|DNAJB5_-_34989760.23-P1	DNAJB5	0	3.986	150.49	849.97	578.77	742.76
