Gene	S1	S2	S3
PRMT2	-6.407387e+00	-6.831822e+00	-5.009120e+00
TARDBP	-5.584333e+00	-4.716471e+00	-7.047744e+00
STMN2	-4.466574e+00	-6.944005e+00	-5.429897e+00
RANBP1	-4.956877e+00	-5.143739e+00	-5.645827e+00
TAF4	-3.303814e+00	-6.176310e+00	-6.246002e+00
GSTO1	-3.721721e+00	-6.228375e+00	-5.313639e+00
KIAA1919	-5.357715e+00	-4.260809e+00	-5.357946e+00
TAF12	-4.801808e+00	-4.812140e+00	-4.727950e+00
CCNC	-5.168139e+00	-4.272993e+00	-4.852989e+00
KLF7	-5.160853e+00	-3.786503e+00	-4.198177e+00
TMX2	-4.134205e+00	-5.462871e+00	-3.458714e+00
DBR1	-3.462058e+00	-5.254888e+00	-3.971450e+00
ZC3H18	-3.301792e+00	-6.360919e+00	-2.955859e+00
LARP6	-3.872062e+00	-4.237499e+00	-3.983016e+00
VBP1	-3.090195e+00	-3.510265e+00	-5.131119e+00
ZC3H13	-3.341643e+00	-4.262379e+00	-4.083413e+00
PAPOLG	-3.341091e+00	-3.830436e+00	-4.496845e+00
TUBA1A	-4.409755e+00	-5.097597e+00	-2.156668e+00
CLDN8	-3.699093e+00	-4.140283e+00	-3.679448e+00
MARS	-3.212041e+00	-4.981700e+00	-3.152249e+00
TTI1	-2.705704e+00	-4.887507e+00	-3.311347e+00
RASAL2	-2.653510e+00	-3.160913e+00	-4.383055e+00
UNCX	-3.591508e+00	-3.514919e+00	-3.036682e+00
PFDN6	-2.476571e+00	-2.575459e+00	-4.897229e+00
NFE4	-2.330607e+00	-3.807544e+00	-3.754627e+00
USP32	-2.738067e+00	-3.964187e+00	-3.156921e+00
WDR61	-2.233969e+00	-2.753004e+00	-4.692028e+00
NELFA	-3.000122e+00	-4.122767e+00	-2.544697e+00
TELO2	-3.691529e+00	-2.683849e+00	-3.137221e+00
MED1	-2.404064e+00	-3.659210e+00	-3.364280e+00
RPRD2	-2.027448e+00	-3.495521e+00	-3.834780e+00
AACS	-3.281452e+00	-2.576962e+00	-3.317102e+00
TRIM24	-3.096013e+00	-3.061825e+00	-3.013637e+00
TAF10	-1.576965e+00	-2.421210e+00	-5.046323e+00
BPIFB1	-3.414967e+00	-2.956515e+00	-2.615716e+00
KDELC2	-2.688418e+00	-3.105026e+00	-3.178803e+00
LEO1	-2.690543e+00	-2.401338e+00	-3.836812e+00
FBXW4	-2.321370e+00	-3.900574e+00	-2.665054e+00
HECW2	-3.088592e+00	-2.655323e+00	-3.071231e+00
HNRNPA3	-2.808548e+00	-2.175178e+00	-3.829003e+00
EP300	-3.388867e+00	-2.264219e+00	-3.133490e+00
OGFOD1	-2.665559e+00	-2.093822e+00	-4.006316e+00
SOCS5	-2.803817e+00	-2.714518e+00	-3.246247e+00
TBX1	-2.410679e+00	-3.111223e+00	-3.205660e+00
HUWE1	-2.790921e+00	-2.898651e+00	-2.947103e+00
SLC25A53	-7.742014e-01	-1.675980e+00	-5.967035e+00
PFDN5	-2.358587e+00	-3.130050e+00	-2.690673e+00
TBCE	-1.366255e+00	-4.411276e+00	-2.349864e+00
MED19	-2.568404e+00	-3.132710e+00	-2.375095e+00
SIRT7	-3.690171e+00	-3.194355e+00	-1.189905e+00
TOX4	-1.504733e+00	-1.657459e+00	-4.892886e+00
ZNF560	-2.792496e+00	-2.457654e+00	-2.778147e+00
NRARP	-2.498288e+00	-2.951967e+00	-2.509831e+00
TBCD	-1.707856e+00	-3.323624e+00	-2.911013e+00
DLL1	-2.838431e+00	-2.209616e+00	-2.848641e+00
TCEB3	-2.579416e+00	-2.396552e+00	-2.808009e+00
SUMO2	-1.929841e+00	-2.443796e+00	-3.287153e+00
C10orf32	-2.674735e+00	-2.742497e+00	-2.206192e+00
HDAC2	-1.916363e+00	-3.248853e+00	-2.379035e+00
TAF6L	-2.281931e+00	-3.044728e+00	-2.213093e+00
SCAF11	-2.205004e+00	-2.583798e+00	-2.739461e+00
RBM4	-3.527483e+00	-2.043322e+00	-1.930686e+00
CCDC73	-1.686773e+00	-3.395336e+00	-2.356577e+00
LRIF1	-1.280591e+00	-3.384236e+00	-2.755254e+00
PPP1R37	-2.690568e+00	-2.491504e+00	-2.189348e+00
BRD9	-2.542678e+00	-1.534174e+00	-3.275331e+00
KHDRBS1	-2.532783e+00	-2.236628e+00	-2.555324e+00
CDKN2AIP	-1.957611e+00	-2.521385e+00	-2.784109e+00
CTDSPL2	-3.014649e+00	-2.516179e+00	-1.617811e+00
EIF5AL1	-2.662444e+00	-2.480257e+00	-1.927284e+00
NAA25	-2.891999e+00	-1.923835e+00	-2.168147e+00
NAA15	-2.436862e+00	-2.013581e+00	-2.519688e+00
SDR16C5	-2.171968e+00	-2.432590e+00	-2.328548e+00
SREK1IP1	-2.461059e+00	-2.204510e+00	-2.248019e+00
NUDT21	-1.999990e+00	-1.904525e+00	-2.952251e+00
TAF3	-1.972502e+00	-3.256602e+00	-1.610730e+00
GUCY1B3	-1.844886e+00	-3.253572e+00	-1.593375e+00
TRRAP	-2.465664e+00	-2.369072e+00	-1.783185e+00
MRPS34	-2.932913e+00	-2.606463e+00	-1.072611e+00
PRMT6	-1.141067e+00	-3.552313e+00	-1.870413e+00
POM121L12	-1.863877e+00	-2.280679e+00	-2.409548e+00
