Gene	S1	S2	S3
PRMT2	0.000000e+00	0.000000e+00	3.354476e-133
TARDBP	6.650603e-166	5.707743e-72	0.000000e+00
STMN2	2.874270e-41	0.000000e+00	1.489574e-196
RANBP1	5.285401e-85	4.956741e-129	5.535834e-234
TAF4	7.612295e-04	0.000000e+00	0.000000e+00
GSTO1	2.553771e-07	0.000000e+00	8.780250e-178
KIAA1919	1.876957e-133	2.460099e-30	8.016903e-185
TAF12	2.520114e-69	3.140463e-83	6.325695e-98
CCNC	4.094225e-109	3.428739e-31	6.479527e-113
KLF7	3.138062e-108	6.409373e-08	8.442083e-47
TMX2	2.604142e-21	4.761629e-183	1.000381e-08
DBR1	2.626002e-04	9.734037e-147	5.007280e-31
ZC3H18	7.704670e-04	0.000000e+00	2.020401e-03
LARP6	4.703526e-11	9.746164e-29	9.622452e-32
VBP1	1.483274e-03	3.371119e-04	2.892293e-150
ZC3H13	6.085380e-04	1.911877e-30	2.326485e-38
PAPOLG	6.104912e-04	4.107841e-09	3.679710e-73
TUBA1A	2.653808e-37	4.994990e-122	5.163498e-03
CLDN8	6.869488e-07	1.249268e-22	4.518298e-16
MARS	1.213853e-03	2.459775e-105	6.157526e-04
TTI1	1.500000e-03	1.024613e-92	1.127192e-05
RASAL2	1.500000e-03	9.915964e-04	2.284028e-62
UNCX	2.651866e-05	3.243399e-04	1.675554e-03
PFDN6	1.500000e-03	1.005709e-03	1.739835e-118
NFE4	1.500001e-03	1.808656e-08	2.390223e-19
USP32	1.500000e-03	7.642145e-14	5.744161e-04
WDR61	1.500157e-03	1.000000e-03	7.957975e-94
NELFA	1.499482e-03	1.264304e-21	3.542309e-03
TELO2	9.397214e-07	1.000016e-03	7.566508e-04
MED1	1.500000e-03	1.941335e-05	1.325436e-06
RPRD2	1.716090e-03	3.750165e-04	2.803221e-23
AACS	8.684503e-04	1.005349e-03	9.115930e-06
TRIM24	1.479919e-03	9.999195e-04	1.807671e-03
TAF10	3.886215e-03	1.520306e-03	2.721532e-138
BPIFB1	3.913205e-04	9.999999e-04	3.445226e-03
KDELC2	1.500000e-03	9.992185e-04	4.003130e-04
LEO1	1.500000e-03	1.706788e-03	2.198416e-23
FBXW4	1.500001e-03	2.190457e-11	3.342988e-03
HECW2	1.484110e-03	1.000096e-03	1.407331e-03
HNRNPA3	1.500000e-03	2.993177e-03	5.572770e-23
EP300	4.627947e-04	2.858425e-03	7.931617e-04
OGFOD1	1.500000e-03	2.999887e-03	3.246547e-33
SOCS5	1.500000e-03	1.000002e-03	8.865229e-05
TBX1	1.500000e-03	9.989508e-04	2.363639e-04
HUWE1	1.500000e-03	1.000000e-03	2.046515e-03
SLC25A53	1.414399e-02	3.300670e-03	7.743314e-296
PFDN5	1.500000e-03	9.975530e-04	3.264777e-03
TBCE	4.192757e-03	6.796755e-42	4.462386e-03
MED19	1.500000e-03	9.972579e-04	4.309010e-03
SIRT7	9.931951e-07	9.741073e-04	1.094455e-02
TOX4	3.987089e-03	3.402341e-03	6.217012e-118
ZNF560	1.500000e-03	1.256389e-03	2.863870e-03
NRARP	1.500000e-03	1.000000e-03	3.616522e-03
TBCD	3.316963e-03	6.920780e-04	2.164432e-03
DLL1	1.500000e-03	2.973810e-03	2.455883e-03
TCEB3	1.500000e-03	1.754998e-03	2.691579e-03
SUMO2	2.362454e-03	1.343489e-03	2.607527e-05
C10orf32	1.500000e-03	1.000000e-03	5.000070e-03
HDAC2	2.462229e-03	8.966620e-04	4.284176e-03
TAF6L	1.500012e-03	9.999706e-04	4.982687e-03
SCAF11	1.500635e-03	1.003956e-03	3.064811e-03
RBM4	1.067676e-04	2.999996e-03	7.231093e-03
CCDC73	3.419634e-03	5.358158e-04	4.422788e-03
LRIF1	4.732069e-03	5.530985e-04	2.986733e-03
PPP1R37	1.500000e-03	1.110333e-03	5.045824e-03
BRD9	1.500000e-03	3.943460e-03	3.807340e-05
KHDRBS1	1.500000e-03	2.935536e-03	3.525942e-03
CDKN2AIP	2.150338e-03	1.044580e-03	2.830309e-03
CTDSPL2	1.499014e-03	1.052802e-03	8.884694e-03
EIF5AL1	1.500000e-03	1.149098e-03	7.250633e-03
NAA25	1.499998e-03	3.000013e-03	5.116247e-03
NAA15	1.500000e-03	2.999999e-03	3.591587e-03
SDR16C5	1.502677e-03	1.426000e-03	4.580248e-03
SREK1IP1	1.500000e-03	2.978240e-03	4.894062e-03
NUDT21	1.858068e-03	3.000045e-03	2.031152e-03
TAF3	2.040146e-03	8.794647e-04	8.903182e-03
GUCY1B3	2.861704e-03	8.863691e-04	8.938918e-03
TRRAP	1.500000e-03	2.044399e-03	7.860349e-03
MRPS34	1.499983e-03	1.001362e-03	1.244935e-02
PRMT6	6.279279e-03	2.150955e-04	7.486629e-03
POM121L12	2.780689e-03	2.787040e-03	4.090355e-03
GYLTL1B	2.041591e-03	2.257078e-03	6.468849e-03
CUBN	1.499993e-03	2.983471e-02	2.945816e-03
C6orf57	4.842243e-06	2.999999e-03	3.715615e-02
KDM3B	1.502075e-03	2.999999e-03	6.568543e-03
AMMECR1	3.811021e-03	2.455020e-03	4.822355e-03
SEH1L	4.007444e-03	9.958571e-04	8.955870e-03
CASQ1	1.505536e-03	9.998280e-04	1.498176e-02
PCGF3	1.500000e-03	3.995620e-03	7.324583e-03
DHX9	1.583468e-03	2.999728e-03	7.228081e-03
VEZT	1.500000e-03	3.641022e-03	7.178303e-03
FAM174A	3.107300e-03	2.515842e-03	6.814438e-03
ADCY8	3.540238e-01	3.966298e-01	1.360084e-282
CSPP1	4.623720e-03	2.758481e-03	3.769398e-03
SUPT20H	1.949118e-03	2.999510e-03	7.182859e-03
GCN1L1	3.236864e-03	3.000000e-03	4.896986e-03
BCL2L2-PABPN1	2.527690e-03	2.999128e-03	7.264634e-03
ADNP2	2.590430e-03	3.000000e-03	6.679329e-03
POLR2F	3.901142e-03	2.683909e-03	6.445921e-03
DENND6B	2.677330e-03	2.999999e-03	7.057381e-03
PHOX2A	2.237870e-03	2.870105e-03	8.831579e-03
CUEDC1	1.511321e-03	1.121126e-03	1.078497e-02
INSM1	1.500001e-03	3.053743e-03	8.132510e-03
NANOS3	1.500000e-03	3.848036e-03	7.691286e-03
PRKAR2A	2.945029e-03	1.792295e-03	8.994419e-03
CETP	3.495898e-03	1.016502e-03	9.028973e-03
AARS	3.949528e-03	3.000001e-03	5.076160e-03
BANP	4.914458e-03	1.000000e-03	8.972757e-03
PFDN1	1.500202e-03	3.001473e-03	8.946764e-03
FOXO4	2.861335e-03	2.985851e-03	8.881388e-03
NEIL1	2.769980e-03	2.999963e-03	8.652891e-03
NAA20	2.575258e-03	3.000002e-03	8.120723e-03
SPATA21	4.991452e-03	9.999796e-04	1.020941e-02
NGDN	1.740209e-02	1.167079e-03	4.362151e-03
FDXACB1	1.770858e-01	9.875485e-02	3.764555e-127
