Gene	S1	S2	S3
PRMT2	2.951639e+00	2.158708e+00	1.666033e+00
TARDBP	1.208164e+00	1.237599e+00	3.366345e+00
STMN2	9.394520e-01	1.955246e+00	1.049818e+00
RANBP1	6.645284e-01	7.116905e-01	7.972470e-01
TAF4	2.785484e+00	2.333495e+00	3.504963e+00
GSTO1	1.122985e+00	2.068588e+00	2.031242e+00
KIAA1919	9.564495e-01	9.527325e-01	9.990763e-01
TAF12	2.967231e+00	2.199046e+00	3.379867e+00
CCNC	7.203586e-01	6.980244e-01	7.886090e-01
KLF7	1.030734e+00	1.152282e+00	9.924600e-01
TMX2	9.865889e-01	1.443156e+00	9.689696e-01
DBR1	2.811408e+00	2.325811e+00	3.298868e+00
ZC3H18	1.143343e+00	2.168386e+00	1.884036e+00
LARP6	5.758765e-01	7.435442e-01	7.709638e-01
VBP1	2.786595e+00	2.078531e+00	3.517935e+00
ZC3H13	4.825075e-01	5.734014e-01	5.843717e-01
PAPOLG	6.921163e-01	9.588085e-01	9.897267e-01
TUBA1A	2.937028e+00	2.316720e+00	3.134511e+00
CLDN8	2.799352e+00	2.137673e+00	2.408383e+00
MARS	9.844829e-01	1.524065e+00	1.445583e+00
TTI1	9.644915e-01	2.002886e+00	1.235519e+00
RASAL2	9.995948e-01	1.253912e+00	3.305277e+00
UNCX	7.036124e-01	7.442175e-01	6.408654e-01
PFDN6	2.700133e+00	1.944204e+00	3.565735e+00
NFE4	1.075044e+00	2.026852e+00	3.277524e+00
USP32	9.053791e-01	1.232367e+00	9.829744e-01
WDR61	2.662426e+00	1.986629e+00	3.521635e+00
NELFA	2.769172e+00	2.258474e+00	3.129762e+00
TELO2	1.056877e+00	9.615988e-01	1.109278e+00
MED1	2.685177e+00	2.185304e+00	3.242465e+00
RPRD2	1.042537e+00	1.525575e+00	2.373051e+00
AACS	1.037876e+00	1.160416e+00	1.538837e+00
TRIM24	9.329202e-01	9.840249e-01	9.690131e-01
TAF10	2.562152e+00	1.923796e+00	3.641515e+00
BPIFB1	5.183857e-01	5.522281e-01	5.335062e-01
KDELC2	1.023710e+00	1.373471e+00	1.183472e+00
LEO1	9.210717e-01	9.456654e-01	1.238948e+00
FBXW4	8.984912e-01	1.393488e+00	9.741719e-01
HECW2	7.887493e-01	7.308587e-01	9.165265e-01
HNRNPA3	6.405572e-01	5.457537e-01	8.209864e-01
EP300	6.677785e-01	5.452257e-01	7.121159e-01
OGFOD1	1.174352e+00	1.259573e+00	3.300404e+00
SOCS5	6.570910e-01	6.923835e-01	7.337586e-01
TBX1	8.989255e-01	1.189065e+00	1.025972e+00
HUWE1	9.265159e-01	1.062689e+00	9.834138e-01
SLC25A53	4.344143e-01	5.644388e-01	1.765435e+00
PFDN5	1.026208e+00	1.352318e+00	1.519372e+00
TBCE	2.551108e+00	2.379730e+00	3.078794e+00
MED19	7.891221e-01	1.178536e+00	7.929119e-01
SIRT7	2.910716e+00	2.074570e+00	1.377628e+00
TOX4	4.924807e-01	6.718537e-01	1.652917e+00
ZNF560	1.048777e+00	1.162135e+00	1.151354e+00
NRARP	4.899629e-01	5.707299e-01	5.433650e-01
TBCD	2.566316e+00	2.171736e+00	3.161736e+00
DLL1	1.054828e+00	1.139710e+00	1.140529e+00
TCEB3	6.487438e-01	6.880903e-01	7.201239e-01
SUMO2	7.423461e-01	9.531362e-01	1.036784e+00
C10orf32	1.069529e+00	1.220273e+00	1.474211e+00
HDAC2	6.458065e-01	9.705388e-01	9.122840e-01
TAF6L	6.992222e-01	9.851894e-01	7.742358e-01
SCAF11	2.637865e+00	2.009144e+00	3.134768e+00
RBM4	1.001769e+00	7.319869e-01	9.026239e-01
CCDC73	2.552438e+00	2.208623e+00	3.059742e+00
LRIF1	2.503863e+00	2.204077e+00	3.126613e+00
PPP1R37	5.107951e-01	5.549533e-01	5.347593e-01
BRD9	2.709095e+00	1.174003e+00	3.246622e+00
KHDRBS1	9.425289e-01	1.111441e+00	9.949719e-01
CDKN2AIP	9.762442e-01	1.191147e+00	1.182150e+00
CTDSPL2	9.747251e-01	9.746452e-01	7.452213e-01
EIF5AL1	1.125735e+00	1.198354e+00	1.182075e+00
NAA25	9.567489e-01	7.213231e-01	9.296687e-01
NAA15	1.103926e+00	1.281606e+00	1.900038e+00
SDR16C5	4.888148e-01	5.611794e-01	5.505082e-01
SREK1IP1	9.355608e-01	9.559821e-01	9.543902e-01
NUDT21	2.587040e+00	1.844239e+00	3.192356e+00
TAF3	9.964779e-01	1.406018e+00	1.155316e+00
GUCY1B3	2.558831e+00	2.202461e+00	2.930342e+00
TRRAP	1.193529e+00	1.854021e+00	1.453163e+00
MRPS34	2.796722e+00	2.022230e+00	2.868743e+00
PRMT6	2.466018e+00	2.277752e+00	2.966046e+00
POM121L12	7.163326e-01	7.550481e-01	8.027772e-01
GYLTL1B	4.969811e-01	6.890306e-01	5.515887e-01
CUBN	2.846791e+00	1.096372e+00	3.142918e+00
C6orf57	3.014849e+00	1.857391e+00	2.810405e+00
KDM3B	5.747623e-01	6.824952e-01	6.726856e-01
AMMECR1	8.805691e-01	1.200085e+00	1.202364e+00
SEH1L	9.262656e-01	2.006452e+00	1.434733e+00
CASQ1	1.017845e+00	1.824429e+00	9.774396e-01
PCGF3	7.721310e-01	6.566413e-01	7.605545e-01
DHX9	9.908184e-01	1.160654e+00	9.580342e-01
VEZT	1.073051e+00	1.105078e+00	9.648134e-01
FAM174A	9.947164e-01	1.227880e+00	1.474288e+00
ADCY8	4.055349e-01	4.695103e-01	1.606324e+00
CSPP1	9.455430e-01	1.343720e+00	1.919206e+00
SUPT20H	4.937558e-01	5.592693e-01	5.426821e-01
GCN1L1	4.775267e-01	5.535574e-01	5.662832e-01
BCL2L2-PABPN1	6.871692e-01	9.434634e-01	7.806476e-01
ADNP2	1.070838e+00	1.184836e+00	1.481354e+00
POLR2F	2.477721e+00	1.982158e+00	2.952071e+00
DENND6B	9.003500e-01	9.655017e-01	9.516355e-01
PHOX2A	7.754413e-01	9.756686e-01	7.621086e-01
CUEDC1	9.510726e-01	1.214340e+00	8.847662e-01
INSM1	6.996535e-01	6.816225e-01	7.500557e-01
NANOS3	6.716139e-01	5.387343e-01	5.527312e-01
PRKAR2A	4.875855e-01	5.868638e-01	5.222134e-01
CETP	8.975930e-01	1.326367e+00	9.212067e-01
AARS	2.461159e+00	1.883879e+00	2.982836e+00
BANP	2.426820e+00	2.141006e+00	2.870154e+00
PFDN1	2.636622e+00	1.842799e+00	2.853394e+00
FOXO4	4.916846e-01	5.739232e-01	5.287574e-01
NEIL1	7.955664e-01	1.131229e+00	9.216251e-01
NAA20	7.759148e-01	9.423096e-01	7.787023e-01
SPATA21	5.950377e-01	9.644431e-01	5.662059e-01
NGDN	2.347245e+00	2.038641e+00	3.023193e+00
FDXACB1	3.970033e-01	4.660419e-01	2.024211e+00
THAP11	7.066857e-01	7.183818e-01	9.245920e-01
SAFB	9.184210e-01	1.194309e+00	9.057536e-01
NDUFA5	2.517455e+00	2.081138e+00	2.798609e+00
RPRD1B	9.101990e-01	1.203438e+00	1.467275e+00
RAB20	2.697031e+00	1.992816e+00	2.761660e+00
MAP3K4	8.449564e-01	1.088753e+00	1.097906e+00
ZFYVE20	9.487452e-01	1.168682e+00	9.324400e-01
FAM20C	6.698249e-01	7.276913e-01	9.099665e-01
MED12	4.780849e-01	5.335886e-01	5.824228e-01
OSR1	9.288702e-01	6.693272e-01	1.002446e+00
QARS	2.428754e+00	1.735896e+00	3.035548e+00
CDAN1	9.987991e-01	1.176902e+00	1.242961e+00
NSD1	9.288685e-01	9.234236e-01	7.797347e-01
ESYT2	2.470212e+00	2.091179e+00	1.317042e+00
TBCA	9.084050e-01	1.030388e+00	1.657969e+00
ACSM5	6.440796e-01	9.546243e-01	6.908465e-01
TAF8	2.486678e+00	1.821384e+00	2.888038e+00
FAM115C	3.916785e-01	4.588059e-01	2.039619e+00
SCAMP5	4.049303e-01	4.696837e-01	1.523206e+00
YWHAQ	6.497002e-01	9.585470e-01	7.926953e-01
TRIM33	6.433353e-01	6.983910e-01	8.085037e-01
GLUL	2.310353e+00	2.006035e+00	3.007244e+00
NFASC	2.515481e+00	2.152821e+00	2.762939e+00
TADA1	4.975909e-01	5.501894e-01	5.411419e-01
CLDND1	6.430753e-01	6.767586e-01	7.247630e-01
C9orf41	4.502360e-01	5.348195e-01	6.153374e-01
OCM2	7.743210e-01	9.776740e-01	8.976858e-01
RICTOR	6.831176e-01	9.662018e-01	6.391739e-01
UBC	9.517847e-01	1.103448e+00	9.624002e-01
IRS2	9.515180e-01	1.152372e+00	1.428973e+00
ZBTB18	7.175596e-01	9.484818e-01	9.959283e-01
ARL2	2.212290e+00	2.063879e+00	1.695017e+00
EXOSC3	2.310982e+00	2.057603e+00	3.027099e+00
GADD45G	4.773208e-01	5.488588e-01	5.638266e-01
VIM	6.870906e-01	8.376818e-01	3.522821e+00
RASEF	8.933649e-01	9.448528e-01	7.823757e-01
FAM101A	2.378558e+00	2.122976e+00	2.782885e+00
LYSMD2	9.170082e-01	1.144183e+00	1.084826e+00
ITPKB	6.702360e-01	1.178269e+00	9.165649e-01
RIN3	6.260424e-01	1.017774e+00	7.460986e-01
TBC1D20	4.732621e-01	4.778908e-01	1.125979e+00
GNB1L	9.524325e-01	1.200340e+00	1.011191e+00
MED13	4.671673e-01	6.032909e-01	5.235642e-01
ANKRD17	2.376283e+00	1.894143e+00	2.853145e+00
BLOC1S1	9.709837e-01	1.307338e+00	1.385576e+00
GTF2A2	4.900618e-01	6.948596e-01	5.837156e-01
SENP5	6.662738e-01	1.029960e+00	8.602640e-01
SPTBN4	4.824088e-01	5.191378e-01	1.650677e+00
PIK3CA	1.018957e+00	1.261295e+00	1.382777e+00
FOXK1	8.069868e-01	6.681292e-01	7.917230e-01
PRDM14	8.161570e-01	8.036901e-01	7.633643e-01
MLLT3	5.215589e-01	5.440302e-01	5.195300e-01
UBIAD1	6.307182e-01	7.825215e-01	7.948366e-01
B4GALT7	9.366522e-01	1.201976e+00	8.806226e-01
AMBRA1	7.807669e-01	6.971290e-01	9.402126e-01
RBL1	8.807888e-01	8.434087e-01	1.075756e+00
MTA3	9.861203e-01	1.256217e+00	1.492955e+00
EFEMP1	4.796399e-01	5.671426e-01	5.389472e-01
NUP43	9.918444e-01	1.163865e+00	1.111744e+00
MAPRE3	2.306860e+00	1.628932e+00	3.031384e+00
TADA2B	4.806083e-01	6.811424e-01	6.028458e-01
BARHL1	6.966477e-01	9.766075e-01	9.624416e-01
MYCBP2	6.368146e-01	6.938607e-01	6.349497e-01
PUM1	7.769920e-01	7.025329e-01	9.335192e-01
HNRNPU	2.235433e+00	1.441619e+00	3.329813e+00
SPIRE2	3.940639e-01	4.779723e-01	2.020444e+00
PARP15	5.061096e-01	6.011856e-01	3.562038e+00
MED26	2.445064e+00	2.040321e+00	3.191907e+00
AGO3	4.751797e-01	5.732493e-01	3.580307e+00
DDHD1	2.490399e+00	1.901199e+00	8.754030e-01
TNRC6A	4.919925e-01	5.528369e-01	5.366979e-01
VPS45	8.784816e-01	8.729213e-01	6.325818e-01
