sgrna	X1	X2
PRMT2_-_48056006.23-P1P2|PRMT2_+_48055615.23-P1P2	1.000000e+00	1.043148e+00
TARDBP_-_11072919.23-P1P2|TARDBP_+_11072781.23-P1P2	1.000000e+00	1.025252e+00
STMN2_+_80523371.23-P1P2|STMN2_+_80523383.23-P1P2	1.000000e+00	1.016328e+00
RANBP1_-_20105218.23-P1P2|RANBP1_-_20105086.23-P1P2	1.000000e+00	1.006360e+00
TAF4_+_60640894.23-P1P2|TAF4_+_60640814.23-P1P2	1.000000e+00	1.089489e+00
GSTO1_-_106015047.23-P1P2|GSTO1_-_106015033.23-P1P2	1.000000e+00	1.038061e+00
KIAA1919_+_111580599.23-P1P2|KIAA1919_+_111580588.23-P1P2	1.000000e+00	1.012596e+00
TAF12_+_28969568.23-P1P2|TAF12_+_28969521.23-P1P2	1.000000e+00	1.111046e+00
CCNC_+_100016473.23-P1P2|CCNC_-_100016531.23-P1P2	1.000000e+00	1.007934e+00
KLF7_+_208031206.23-P1P2|KLF7_+_208030196.23-P1P2	1.000000e+00	1.018851e+00
TMX2_+_57480105.23-P1P2|TMX2_-_57480081.23-P1P2	1.000000e+00	1.022762e+00
DBR1_+_137893744.23-P1P2|DBR1_+_137893673.23-P1P2	1.000000e+00	1.128786e+00
ZC3H18_+_88636860.23-P1P2|ZC3H18_+_88636857.23-P1P2	1.000000e+00	1.053038e+00
LARP6_+_71146449.23-P1P2|LARP6_-_71146443.23-P1P2	1.000000e+00	1.009652e+00
VBP1_-_154444784.23-P1P2|VBP1_-_154444762.23-P1P2	1.000000e+00	1.167254e+00
ZC3H13_-_46626846.23-P1P2|ZC3H13_+_46626889.23-P1P2	1.000000e+00	1.006611e+00
PAPOLG_+_60983709.23-P1P2|PAPOLG_-_60983780.23-P1P2	1.000000e+00	1.016898e+00
TUBA1A_-_49582843.23-P1P2|TUBA1A_-_49582463.23-P1P2	1.000000e+00	1.137265e+00
CLDN8_+_31587998.23-P1P2|CLDN8_-_31588365.23-P1P2	1.000000e+00	1.132889e+00
MARS_+_57881899.23-P1P2|MARS_-_57881904.23-P1P2	1.000000e+00	1.039262e+00
TTI1_+_36661804.23-P1P2|TTI1_+_36661799.23-P1P2	1.000000e+00	1.048943e+00
RASAL2_-_178063304.23-P1P2|RASAL2_-_178063285.23-P1P2	1.000000e+00	1.068190e+00
