gRNA	gene	S1	S2	S3
A1BG_+_58858964.23-P1|A1BG_-_58858788.23-P1	A1BG	-4.443922e-01	4.598191e-01	6.605830e-02
A1BG_-_58864840.23-P2|A1BG_-_58864822.23-P2	A1BG	-3.158249e-01	-1.242725e-01	-3.331323e-01
A1CF_+_52645339.23-P1P2|A1CF_-_52645373.23-P1P2	A1CF	-1.610035e-01	1.786965e-01	-2.953858e-01
A2ML1_+_8975211.23-P1P2|A2ML1_-_8975593.23-P1P2	A2ML1	4.491334e-01	-3.740227e-01	5.406055e-01
A2M_+_9268487.23-P1P2|A2M_+_9268495.23-P1P2	A2M	1.814019e-01	2.717867e-01	1.923846e-01
A3GALT2_+_33786659.23-ENST00000442999.3|A3GALT2_+_33786649.23-ENST00000442999.3	A3GALT2	7.350257e-01	7.455156e-02	9.133208e-01
A4GALT_-_43116819.23-P1P2|A4GALT_+_43116792.23-P1P2	A4GALT	-2.045629e+00	-4.824541e-01	-5.737220e-01
A4GNT_+_137851178.23-P1P2|A4GNT_-_137851117.23-P1P2	A4GNT	8.306851e-02	1.843069e-01	-3.126492e-01
AAAS_-_53715438.23-P1P2|AAAS_+_53715355.23-P1P2	AAAS	3.712149e-01	1.708678e-01	2.734349e-01
AACS_+_125549983.23-P1P2|AACS_-_125550169.23-P1P2	AACS	-3.454372e+00	-2.712831e+00	-3.492351e+00
AADACL2_+_151451732.23-P1P2|AADACL2_+_151452121.23-P1P2	AADACL2	-1.224173e-01	6.425992e-02	1.888702e-02
AADACL3_+_12776133.23-P1P2|AADACL3_+_12776213.23-P1P2	AADACL3	5.929664e-01	7.162630e-01	-4.822597e-02
AADACL4_+_12704573.23-P1P2|AADACL4_+_12704601.23-P1P2	AADACL4	-3.046201e-01	-4.488531e-01	-6.379833e-01
AADAC_-_151531954.23-P1P2|AADAC_-_151531939.23-P1P2	AADAC	1.609171e-01	3.019519e-01	2.389783e-01
AADAT_-_171011368.23-P1P2|AADAT_+_171011325.23-P1P2	AADAT	1.651492e-01	5.184412e-01	-4.706022e-02
AAED1_-_99417574.23-P1P2|AAED1_+_99417525.23-P1P2	AAED1	6.022663e-01	3.897779e-02	6.481188e-01
AAGAB_-_67546997.23-P1P2|AAGAB_-_67546928.23-P1P2	AAGAB	3.054958e+00	3.042841e+00	2.307665e+00
AAK1_-_69870791.23-P1P2|AAK1_-_69870794.23-P1P2	AAK1	3.997192e-01	7.638698e-01	8.196288e-01
AAMDC_-_77532236.23-P1P2|AAMDC_-_77532222.23-P1P2	AAMDC	3.359594e-01	1.514652e-01	-1.062246e+00
AAMP_+_219134851.23-P1P2|AAMP_+_219134841.23-P1P2	AAMP	1.238652e+00	6.796780e-01	4.112141e+00
AANAT_-_74463789.23-P1P2|AANAT_+_74463735.23-P1P2	AANAT	3.583695e-01	5.276934e-01	-1.659430e-01
AAR2_-_34824434.23-P1P2|AAR2_+_34824488.23-P1P2	AAR2	-1.629023e+00	-1.853318e+00	-8.065816e-01
AARD_+_117950477.23-P1P2|AARD_+_117950489.23-P1P2	AARD	-4.590744e-02	-5.173684e-02	-7.254966e-02
AARS2_+_44281027.23-P1P2|AARS2_+_44281044.23-P1P2	AARS2	-1.192640e-01	1.324152e+00	8.058528e-01
AARSD1_+_41132061.23-P2|AARSD1_-_41132037.23-P2	AARSD1	-2.498802e-02	1.171170e-01	-4.452148e-02
AARSD1_-_41116425.23-P1|AARSD1_+_41116412.23-P1	AARSD1	-2.279237e-01	3.739031e-01	-3.777498e-03
AARS_+_70323362.23-P1P2|AARS_-_70323332.23-P1P2	AARS	-2.269330e+00	-2.878970e+00	-3.205155e+00
AASDHPPT_+_105948405.23-P1P2|AASDHPPT_+_105948450.23-P1P2	AASDHPPT	4.334445e-01	-7.448618e-02	-9.045718e-01
AASDH_-_57253588.23-P1P2|AASDH_+_57253570.23-P1P2	AASDH	-4.219717e-01	-7.061108e-01	-1.129907e-01
AASS_+_121784247.23-P1P2|AASS_+_121784219.23-P1P2	AASS	4.422089e-01	8.206616e-01	7.788803e-01
AATF_-_35306286.23-P1P2|AATF_-_35306346.23-P1P2	AATF	-4.590744e-02	-2.925119e+00	-7.254966e-02
AATK_-_79139957.23-ENST00000326724.4|AATK_+_79139571.23-ENST00000326724.4	AATK	3.478288e-01	1.729468e-01	2.011144e-02
ABAT_+_8807464.23-P2|ABAT_+_8807450.23-P2	ABAT	3.353539e-01	2.854664e-01	1.883949e-01
ABAT_-_8768533.23-P1|ABAT_-_8768504.23-P1	ABAT	-1.145818e-01	1.407539e-01	-7.565247e-03
ABCA10_+_67224811.23-P1P2|ABCA10_-_67224823.23-P1P2	ABCA10	-8.640056e-02	-2.734580e-01	1.996727e-01
ABCA12_+_216003308.23-P1P2|ABCA12_+_216003314.23-P1P2	ABCA12	-1.422033e-01	-7.220683e-02	3.896632e-01
ABCA13_+_48211097.23-P1P2|ABCA13_-_48211093.23-P1P2	ABCA13	5.417458e-02	7.357827e-02	-7.007096e-01
ABCA1_-_107690385.23-P1P2|ABCA1_-_107690389.23-P1P2	ABCA1	3.192148e-01	-2.831706e-01	7.668315e-01
ABCA2_-_139922596.23-P1P2|ABCA2_+_139922669.23-P1P2	ABCA2	-5.604890e-01	-1.111476e+00	-3.209356e-01
ABCA3_-_2390704.23-P1P2|ABCA3_+_2390336.23-P1P2	ABCA3	-3.489295e-01	7.124283e-01	5.110028e-01
ABCA4_-_94586658.23-P1P2|ABCA4_+_94586668.23-P1P2	ABCA4	5.505520e-02	3.140688e-02	4.076294e-01
ABCA5_-_67323220.23-P1P2|ABCA5_+_67323191.23-P1P2	ABCA5	-1.076637e+00	2.182417e-01	-5.997967e-01
ABCA6_+_67138008.23-P1P2|ABCA6_+_67137842.23-P1P2	ABCA6	-6.112909e-01	1.435752e-01	-5.734479e-01
ABCA7_+_1041311.23-P2|ABCA7_-_1041459.23-P2	ABCA7	1.255071e-01	-4.539878e-01	-1.091220e-01
ABCA7_-_1040133.23-P1|ABCA7_+_1040185.23-P1	ABCA7	5.255861e-01	7.954684e-01	6.204410e-01
ABCA8_+_66951401.23-P1P2|ABCA8_-_66951525.23-P1P2	ABCA8	-1.344655e+00	3.374515e-01	1.233523e-01
ABCA9_-_67057053.23-P1P2|ABCA9_+_67057085.23-P1P2	ABCA9	-7.081882e-01	3.240332e-01	-4.427932e-01
ABCB10_+_229694285.23-P1P2|ABCB10_-_229694297.23-P1P2	ABCB10	-4.590744e-02	-5.173684e-02	-7.254966e-02
ABCB11_-_169887784.23-P1P2|ABCB11_-_169887796.23-P1P2	ABCB11	-2.737121e-01	1.253826e-01	4.807561e-01
ABCB1_-_87342674.23-ENST00000265724.3|ABCB1_-_87342657.23-ENST00000265724.3	ABCB1	5.837866e-01	-1.510348e-01	-9.487916e-03
ABCB4_+_87104933.23-P1P2|ABCB4_-_87104975.23-P1P2	ABCB4	-3.432062e-01	-2.837542e-01	-5.020951e-01
