gRNA	gene	S1	S2	S3
A1BG_+_58858964.23-P1|A1BG_-_58858788.23-P1	A1BG	   nan	   nan	   nan
A1BG_-_58864840.23-P2|A1BG_-_58864822.23-P2	A1BG	   nan	   nan	   nan
A1CF_+_52645339.23-P1P2|A1CF_-_52645373.23-P1P2	A1CF	   nan	   nan	   nan
A2ML1_+_8975211.23-P1P2|A2ML1_-_8975593.23-P1P2	A2ML1	   nan	   nan	   nan
A2M_+_9268487.23-P1P2|A2M_+_9268495.23-P1P2	A2M	   nan	   nan	   nan
A3GALT2_+_33786659.23-ENST00000442999.3|A3GALT2_+_33786649.23-ENST00000442999.3	A3GALT2	   nan	   nan	   nan
A4GALT_-_43116819.23-P1P2|A4GALT_+_43116792.23-P1P2	A4GALT	   nan	   nan	   nan
A4GNT_+_137851178.23-P1P2|A4GNT_-_137851117.23-P1P2	A4GNT	   nan	   nan	   nan
AAAS_-_53715438.23-P1P2|AAAS_+_53715355.23-P1P2	AAAS	   nan	   nan	   nan
AACS_+_125549983.23-P1P2|AACS_-_125550169.23-P1P2	AACS	   nan	   nan	   nan
AADACL2_+_151451732.23-P1P2|AADACL2_+_151452121.23-P1P2	AADACL2	   nan	   nan	   nan
AADACL3_+_12776133.23-P1P2|AADACL3_+_12776213.23-P1P2	AADACL3	   nan	   nan	   nan
AADACL4_+_12704573.23-P1P2|AADACL4_+_12704601.23-P1P2	AADACL4	   nan	   nan	   nan
AADAC_-_151531954.23-P1P2|AADAC_-_151531939.23-P1P2	AADAC	   nan	   nan	   nan
AADAT_-_171011368.23-P1P2|AADAT_+_171011325.23-P1P2	AADAT	   nan	   nan	   nan
AAED1_-_99417574.23-P1P2|AAED1_+_99417525.23-P1P2	AAED1	   nan	   nan	   nan
AAGAB_-_67546997.23-P1P2|AAGAB_-_67546928.23-P1P2	AAGAB	   nan	   nan	   nan
AAK1_-_69870791.23-P1P2|AAK1_-_69870794.23-P1P2	AAK1	   nan	   nan	   nan
AAMDC_-_77532236.23-P1P2|AAMDC_-_77532222.23-P1P2	AAMDC	   nan	   nan	   nan
AAMP_+_219134851.23-P1P2|AAMP_+_219134841.23-P1P2	AAMP	   nan	   nan	   nan
AANAT_-_74463789.23-P1P2|AANAT_+_74463735.23-P1P2	AANAT	   nan	   nan	   nan
AAR2_-_34824434.23-P1P2|AAR2_+_34824488.23-P1P2	AAR2	   nan	   nan	   nan
AARD_+_117950477.23-P1P2|AARD_+_117950489.23-P1P2	AARD	   nan	   nan	   nan
AARS2_+_44281027.23-P1P2|AARS2_+_44281044.23-P1P2	AARS2	   nan	   nan	   nan
AARSD1_+_41132061.23-P2|AARSD1_-_41132037.23-P2	AARSD1	   nan	   nan	   nan
AARSD1_-_41116425.23-P1|AARSD1_+_41116412.23-P1	AARSD1	   nan	   nan	   nan
AARS_+_70323362.23-P1P2|AARS_-_70323332.23-P1P2	AARS	   nan	   nan	   nan
AASDHPPT_+_105948405.23-P1P2|AASDHPPT_+_105948450.23-P1P2	AASDHPPT	   nan	   nan	   nan
AASDH_-_57253588.23-P1P2|AASDH_+_57253570.23-P1P2	AASDH	   nan	   nan	   nan
AASS_+_121784247.23-P1P2|AASS_+_121784219.23-P1P2	AASS	   nan	   nan	   nan
AATF_-_35306286.23-P1P2|AATF_-_35306346.23-P1P2	AATF	   nan	   nan	   nan
AATK_-_79139957.23-ENST00000326724.4|AATK_+_79139571.23-ENST00000326724.4	AATK	   nan	   nan	   nan
ABAT_+_8807464.23-P2|ABAT_+_8807450.23-P2	ABAT	   nan	   nan	   nan
ABAT_-_8768533.23-P1|ABAT_-_8768504.23-P1	ABAT	   nan	   nan	   nan
ABCA10_+_67224811.23-P1P2|ABCA10_-_67224823.23-P1P2	ABCA10	   nan	   nan	   nan
ABCA12_+_216003308.23-P1P2|ABCA12_+_216003314.23-P1P2	ABCA12	   nan	   nan	   nan
ABCA13_+_48211097.23-P1P2|ABCA13_-_48211093.23-P1P2	ABCA13	   nan	   nan	   nan
ABCA1_-_107690385.23-P1P2|ABCA1_-_107690389.23-P1P2	ABCA1	   nan	   nan	   nan
ABCA2_-_139922596.23-P1P2|ABCA2_+_139922669.23-P1P2	ABCA2	   nan	   nan	   nan
ABCA3_-_2390704.23-P1P2|ABCA3_+_2390336.23-P1P2	ABCA3	   nan	   nan	   nan
ABCA4_-_94586658.23-P1P2|ABCA4_+_94586668.23-P1P2	ABCA4	   nan	   nan	   nan
ABCA5_-_67323220.23-P1P2|ABCA5_+_67323191.23-P1P2	ABCA5	   nan	   nan	   nan
ABCA6_+_67138008.23-P1P2|ABCA6_+_67137842.23-P1P2	ABCA6	   nan	   nan	   nan
ABCA7_+_1041311.23-P2|ABCA7_-_1041459.23-P2	ABCA7	   nan	   nan	   nan
ABCA7_-_1040133.23-P1|ABCA7_+_1040185.23-P1	ABCA7	   nan	   nan	   nan
ABCA8_+_66951401.23-P1P2|ABCA8_-_66951525.23-P1P2	ABCA8	   nan	   nan	   nan
ABCA9_-_67057053.23-P1P2|ABCA9_+_67057085.23-P1P2	ABCA9	   nan	   nan	   nan
ABCB10_+_229694285.23-P1P2|ABCB10_-_229694297.23-P1P2	ABCB10	   nan	   nan	   nan
ABCB11_-_169887784.23-P1P2|ABCB11_-_169887796.23-P1P2	ABCB11	   nan	   nan	   nan
ABCB1_-_87342674.23-ENST00000265724.3|ABCB1_-_87342657.23-ENST00000265724.3	ABCB1	   nan	   nan	   nan
ABCB4_+_87104933.23-P1P2|ABCB4_-_87104975.23-P1P2	ABCB4	   nan	   nan	   nan
ABCB5_+_20687051.23-P1P2|ABCB5_+_20687242.23-P1P2	ABCB5	   nan	   nan	   nan
ABCB6_-_220083604.23-P1P2|ABCB6_+_220083613.23-P1P2	ABCB6	   nan	   nan	   nan
ABCB7_-_74376019.23-P1P2|ABCB7_+_74375885.23-P1P2	ABCB7	   nan	   nan	   nan
ABCB8_-_150725551.23-P1P2|ABCB8_-_150725580.23-P1P2	ABCB8	   nan	   nan	   nan
